Date,Open,High,Low,Close,Adj Close,Volume
16-10-1986,12.222222,12.361111,12.111111,12.138889,4.835893,1713800
17-10-1986,12.138889,12.138889,12,12.027778,4.791628,1332000
20-10-1986,12.027778,12.027778,11.888889,11.916667,4.747362,1412000
21-10-1986,11.916667,12,11.833333,11.916667,4.747362,1195200
22-10-1986,11.916667,12.055555,11.861111,12.027778,4.791628,1174800
23-10-1986,12.194445,12.444445,12.194445,12.416667,4.946554,2453600
24-10-1986,12.416667,12.5,12.388889,12.472222,4.968684,1901000
27-10-1986,12.472222,12.583333,12.138889,12.138889,4.835893,2244000
28-10-1986,11.888889,11.888889,11.555555,11.555555,4.603504,7110000
29-10-1986,11.638889,11.777778,11.638889,11.75,4.680969,4725000
30-10-1986,11.777778,12.166667,11.777778,11.805555,4.703099,3923000
31-10-1986,11.805555,11.916667,11.722222,11.75,4.680969,1676600
03-11-1986,11.75,11.833333,11.583333,11.666667,4.647767,2686400
04-11-1986,11.611111,11.611111,11.361111,11.5,4.581371,6660000
05-11-1986,11.416667,11.416667,11.055555,11.111111,4.478473,5580000
06-11-1986,11.138889,11.555555,11.138889,11.555555,4.657613,4351400
07-11-1986,11.555555,11.777778,11.5,11.694445,4.713594,2339400
10-11-1986,11.694445,11.722222,11.527778,11.694445,4.713594,2039600
11-11-1986,11.694445,11.777778,11.472222,11.555555,4.657613,1661400
12-11-1986,11.527778,11.527778,11.194445,11.25,4.534455,3279800
13-11-1986,11.25,11.333333,11.166667,11.194445,4.512064,3432600
14-11-1986,11.194445,11.222222,11.083333,11.222222,4.523258,3316400
17-11-1986,11.222222,11.333333,11.111111,11.111111,4.478473,2927000
18-11-1986,11.111111,11.194445,10.888889,10.888889,4.388906,3326400
19-11-1986,10.888889,11.027778,10.861111,10.944445,4.411298,3067400
20-11-1986,11,11.333333,11,11.277778,4.545649,3032400
21-11-1986,11.277778,11.416667,11.111111,11.194445,4.512064,3035000
24-11-1986,11.25,11.527778,11.25,11.472222,4.624025,2654000
25-11-1986,11.472222,11.555555,11.222222,11.222222,4.523258,3257000
26-11-1986,11.222222,11.333333,11.138889,11.222222,4.523258,2660600
28-11-1986,11.222222,11.361111,11.166667,11.333333,4.568044,1079400
01-12-1986,11.333333,11.333333,11.027778,11.166667,4.500868,3032400
02-12-1986,11.166667,11.333333,11.111111,11.333333,4.568044,4635000
03-12-1986,11.527778,11.805555,11.527778,11.583333,4.66881,3875400
04-12-1986,11.583333,11.75,11.555555,11.611111,4.680005,2362800
05-12-1986,11.611111,11.694445,11.5,11.527778,4.646417,1901600
08-12-1986,11.527778,11.611111,11.333333,11.444445,4.612828,2174600
09-12-1986,11.444445,11.527778,11.444445,11.472222,4.624025,1882200
10-12-1986,11.5,11.638889,11.5,11.638889,4.691202,3534600
11-12-1986,11.638889,11.666667,11.388889,11.5,4.635221,3630800
12-12-1986,11.5,11.5,11.333333,11.388889,4.590436,1584800
15-12-1986,11.388889,11.611111,11.277778,11.611111,4.680005,2398400
16-12-1986,11.611111,11.611111,11.5,11.555555,4.657613,2173400
17-12-1986,11.555555,11.611111,11.472222,11.472222,4.624025,2364600
18-12-1986,11.555555,11.777778,11.555555,11.75,4.73599,1851600
19-12-1986,11.75,11.888889,11.638889,11.888889,4.791967,4500000
22-12-1986,11.888889,12,11.777778,11.972222,4.825556,2236800
23-12-1986,11.972222,12.083333,11.916667,11.944445,4.814359,2286000
24-12-1986,11.944445,12.055555,11.944445,11.972222,4.825556,2175200
26-12-1986,11.972222,12,11.944445,11.972222,4.825556,1196000
29-12-1986,11.972222,11.972222,11.722222,11.777778,4.747182,1365200
30-12-1986,11.75,11.75,11.527778,11.555555,4.657613,2684600
31-12-1986,11.555555,11.555555,11.333333,11.361111,4.57924,1608200
02-01-1987,11.416667,11.611111,11.416667,11.583333,4.66881,1450200
05-01-1987,11.583333,11.861111,11.5,11.861111,4.780772,4183400
06-01-1987,11.861111,11.888889,11.305555,11.333333,4.568044,7110000
07-01-1987,11.333333,11.472222,11.277778,11.277778,4.545649,11745000
08-01-1987,11.361111,11.583333,11.361111,11.555555,4.657613,6435000
09-01-1987,11.555555,11.638889,11.444445,11.527778,4.646417,3145400
12-01-1987,11.527778,11.694445,11.444445,11.555555,4.657613,2401400
13-01-1987,11.555555,11.694445,11.527778,11.694445,4.713594,2079800
14-01-1987,11.694445,11.722222,11.5,11.527778,4.646417,3463400
15-01-1987,11.527778,11.888889,11.472222,11.777778,4.747182,5850000
16-01-1987,11.777778,11.805555,11.194445,11.333333,4.568044,9765000
19-01-1987,11.333333,11.333333,10.972222,11.277778,4.545649,5580000
20-01-1987,11.277778,11.444445,11.277778,11.416667,4.601631,5670000
21-01-1987,11.416667,11.5,11.333333,11.333333,4.568044,4082600
22-01-1987,11.333333,11.527778,11.333333,11.416667,4.601631,3904200
23-01-1987,11.416667,11.805555,11.361111,11.388889,4.590436,6660000
26-01-1987,11.388889,11.472222,11.277778,11.333333,4.568044,3173600
27-01-1987,11.305555,11.305555,11,11.027778,4.444883,9360000
28-01-1987,11.027778,11.027778,10.916667,10.972222,4.422494,7425000
29-01-1987,10.972222,11.222222,10.972222,11.166667,4.500868,4185000
30-01-1987,11.166667,11.194445,11.027778,11.166667,4.500868,2334600
02-02-1987,11.166667,11.222222,11.083333,11.083333,4.467277,3744800
03-02-1987,11.083333,11.111111,10.972222,11.111111,4.478473,7515000
04-02-1987,11.111111,11.194445,11.027778,11.194445,4.576231,3458600
05-02-1987,11.194445,11.277778,11.138889,11.194445,4.576231,3398600
06-02-1987,11.194445,11.305555,11.138889,11.138889,4.55352,3338000
09-02-1987,11.138889,11.194445,11.111111,11.138889,4.55352,1391400
10-02-1987,11.138889,11.166667,11.055555,11.166667,4.564875,2849600
11-02-1987,11.166667,11.194445,11.055555,11.194445,4.576231,2373200
12-02-1987,11.194445,11.194445,11,11.138889,4.55352,3306000
13-02-1987,11.138889,11.25,11.083333,11.138889,4.55352,2156400
17-02-1987,11.166667,11.277778,11.166667,11.277778,4.610293,3090800
18-02-1987,11.277778,11.527778,11.277778,11.5,4.701139,4321800
19-02-1987,11.5,11.833333,11.472222,11.777778,4.814693,5670000
20-02-1987,11.777778,11.833333,11.611111,11.75,4.803339,3668400
23-02-1987,11.75,11.777778,11.611111,11.75,4.803339,4334400
